Price,AxisX,AxisY,IsValid
0.15067,32.57534,100,False,
0.143973,29.36482,65.03186,False,
0.137835,27.04906,43.86775,False,
0.135045,34.37447,35.13337,True,
0.142299,38.58245,43.32589,False,
0.141183,38.58245,39.44182,False,
0.136161,43.21988,29.70238,True,
0.136719,51.28201,28.29087,True,
0.139509,57.14262,31.12416,True,
0.138393,69.76807,27.22124,True,
0.146763,73.81009,55.24523,False,
0.142299,59.7834,47.13316,True,
0.145089,59.7834,62.85105,False,
0.146763,58.51143,74.40813,False,
0.146205,53.84708,75.14003,False,
0.143973,47.5,64.3464,False,
0.142857,42.46576,55.66997,False,
0.138393,40.00001,24.47073,False,
0.133371,55.38461,6.4062,False,
0.126116,59.72223,0,False,
0.118862,61.84301,0,True,
0.123326,68.18246,0,True,
0.12779,65.93474,9.227877,False,
0.12779,59.79455,4.844744,False,
0.128348,70.73235,20.22981,False,
0.121652,66.66747,2.12892,False,
0.121652,75.61031,10.53775,False,
0.117746,78.48151,12.41044,False,
0.116629,80.00043,14.57567,False,
0.113839,79.51897,15.07356,True,
0.116629,80.2334,28.05344,True,
0.121652,73.49513,44.07508,False,
0.114397,62.65086,33.88793,False,
0.108259,62.65086,26.97858,False,
0.109933,61.72873,30.4005,False,
0.106027,65.78955,24.87606,True,
0.112723,75.99935,42.77369,True,
0.114397,65.51732,47.04598,True,
0.118304,64.0451,57.69357,False,
0.118862,53.57112,60.827,False,
0.117188,52.94092,58.26326,False,
0.116071,50.61723,56.00386,False,
0.115513,50.61723,55.30639,False,
0.114397,48.05213,50.83265,False,
0.105469,52.70244,6.361718,False,
0.100446,67.90115,1.204506,False,
0.09654,66.2338,3.033682,True,
0.100446,64.38374,27.98086,False,
0.09933,61.03934,40.33215,True,
0.103237,58.33395,50.0255,True,
0.108259,62.6852,63.86184,True,
0.114955,57.5335,85.27919,True,
0.113839,53.84703,84.36652,True,
0.114955,55.69695,91.88863,True,
0.11942,52.56507,100,False,
0.118862,46.42773,100,False,
0.116629,46.42773,100,False,
0.114397,47.67461,100,False,
0.110491,39.19025,100,False,
0.110491,37.49969,100,False,
0.109375,30.76944,100,False,
0.108259,36.66637,69.7633,True,
0.117746,36.66637,67.78557,False,
0.118304,31.42872,63.6068,False,
0.116071,35.48369,53.89338,True,
0.114955,48.1484,50.84148,True,
0.120536,48.1484,65.76879,True,
0.122768,41.93521,71.98734,False,
0.124442,44.82822,74.66991,False,
0.124442,41.66766,75.35645,False,
0.124442,37.49959,76.60042,False,
0.118304,32.69236,54.31839,False,
0.111607,37.4996,25.47012,True,
0.114955,48.52957,38.73417,True,
0.122768,43.05625,81.48633,True,
0.127232,34.5244,100,True,
0.13058,38.66776,93.6971,False,
0.129464,36.25124,81.4117,False,
0.128348,34.6153,70.17393,False,
0.126116,34.6153,59.2655,False,
0.124442,43.05591,51.47132,False,
0.126674,47.88742,61.41222,False,
0.126674,47.22237,61.76014,False,
0.126116,47.22237,59.36812,False,
0.125558,47.94532,56.66181,False,
0.12221,39.68311,33.28834,True,
0.123884,33.33226,38.31116,False,
0.125,35.18401,38.49144,False,
0.12221,45.23809,16.0013,False,
0.12221,61.53848,8.535596,False,
0.121652,72.72728,0,False,
0.119978,71.87503,0,True,
0.122768,72.72728,12.404,True,
0.125,58.82352,61.21744,False,
0.122768,48.57143,29.34732,True,
0.126674,60,90.10174,True,
0.133929,50,100,True,
0.140067,37.03579,100,True,
0.139509,29.68667,80.70997,True,
0.147321,23.72807,69.0388,False,
0.147321,19.99947,63.9676,False,
0.147879,20.58767,62.31053,False,
0.147879,14.06208,60.10751,False,
0.140625,14.06208,46.80586,False,
0.140625,27.63092,46.5201,False,
0.143415,24.65692,51.65498,False,
0.141183,24.65692,46.64556,False,
0.136161,30.13624,34.39664,True,
0.138951,34.61459,40.19349,True,
0.140625,35.52547,43.6205,True,
