Price,AxisX,AxisY,IsValid
17.59,75.13413,46.08706,False,
18.19,100,46.89506,False,
18.55,100,45.8159,False,
18.3,100,40.40404,False,
18.15,100,42.15686,False,
18.35,100,43.80952,False,
18.7,100,33.8235,False,
18.35,100,34.11015,False,
18.4,100,44.85124,False,
18.65,100,43.70709,False,
18.33,90.7168,28.87138,False,
17.47,25.06103,39.2265,False,
17.75,36.60872,46.73125,False,
18.1,51.79784,43.76418,False,
18.15,48.42098,44.16476,False,
18.46,61.88192,50.52357,False,
18.95,87.76086,51.19363,False,
18.85,83.90392,41.89524,False,
18.6,70.65304,41.16161,False,
18.79,79.84076,46.88279,False,
18.58,69.72467,48.83117,False,
18.28,49.51771,46.90028,False,
18.23,46.13641,51.51514,False,
18.1,33.62749,55.5851,False,
17.98,10.50385,53.22128,False,
18,0,40.98941,False,
17.98,0,45.13619,False,
17.72,0,52.67859,False,
17.66,0,58.7755,False,
17.53,0,68.18176,False,
16.86,0,88.58691,False,
16.22,0,91.28627,False,
16.45,0,92.49997,False,
16.27,15.0899,91.19713,False,
16.34,24.4385,91.10315,False,
16.1,21.94717,87.59686,False,
16.3,33.65752,88.4476,False,
15.6,24.34136,81.69014,False,
15.2,21.43707,84.79531,False,
14.7,17.89094,86.8421,False,
14.91,27.37281,88.31776,False,
14.24,21.26331,83.21513,False,
14.2,24.06733,85.33058,False,
15,40.1262,85.05264,False,
15.15,43.71119,69.05737,False,
15.2,45.33848,62.18679,False,
15.33,51.34439,64.84563,False,
14.22,36.56488,61.29809,False,
13.75,32.31058,70.38463,False,
13.65,31.8688,71.63905,False,
13.83,35.11268,74.85928,False,
13.4,33.21492,68.39917,False,
13.39,34.68545,68.59504,False,
14.04,48.51297,65.05746,False,
13.62,39.23524,59.08142,False,
13.75,43.49236,56.82819,False,
13.8,45.3604,54.85961,False,
14.15,57.06245,65.46391,False,
13.78,47.04478,62.2549,False,
13.75,46.54403,66.13637,False,
11.35,15.61988,68.37209,False,
11,20.73802,75.67084,False,
10.48,16.69145,75.13712,True,
10.7,19.6254,76.91002,True,
10.99,25.34745,76.39124,False,
11.05,29.36314,70.81175,False,
11.19,32.62179,70.03425,False,
11.59,42.27804,76.73546,False,
11.6,42.32237,69.11488,False,
11.4,44.48235,70.71291,False,
11.26,47.54219,72.47191,False,
11.4,52.78677,78.16763,False,
11.2,50.33025,74.28571,False,
11.25,51.88566,75.14793,False,
11.5,61.59994,51.83824,False,
11.9,74.23455,40.45802,False,
11.95,76.45741,21.6,False,
11.66,64.37075,23.17597,False,
11.3,42.71734,35.62231,False,
11.13,31.18471,45.24715,False,
11.14,28.05937,51.12781,False,
11.13,22.98582,59.91189,False,
11.2,23.57951,60.35243,False,
11.53,74.81271,54.67289,False,
