Target,Stoploss
1,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
50.96397,46.73986,0,True,1,
52.46833,63.57466,100,True,1,
53.54929,58.46859,100,True,1,
55.53683,43.9317,100,True,2,
55.79088,38.80963,100,True,1,
56.77221,41.15866,100,True,1,
58.52563,33.24764,100,True,1,
59.45714,15.9331,100,False,1,
58.69998,14.94016,100,True,2,
58.96897,12.78038,92.07526,True,1,
60.18441,13.18204,83.82156,False,2,
59.69126,6.373184,73.16122,False,1,
58.90919,10.78645,63.89693,True,1,
63.19314,16.91542,80.0145,True,1,
65.29526,12.47325,75.70164,False,1,
64.55802,12.03185,67.66817,True,1,
66.04246,16.73691,69.5789,True,1,
67.27782,17.26173,70.54645,True,1,
68.92664,16.26682,72.18348,False,4,
68.28406,15.65316,67.05704,True,1,
69.16575,20.57673,67.93871,False,2,
68.60784,20.63873,64.20115,False,1,
67.37746,19.67059,58.40898,True,1,
68.44346,25.69121,61.66383,True,1,
70.18692,25.91512,66.81268,True,2,
70.73487,21.47301,67.82928,True,1,
71.78593,17.44373,71.28774,True,1,
74.3015,21.22118,80.19487,False,2,
73.69378,20.64931,71.10371,False,1,
69.98269,19.97375,51.06911,True,1,
74.41109,38.70321,68.69223,True,1,
85.89305,32.71364,83.48137,True,1,
93.3501,22.15498,82.30152,False,1,
90.56055,16.38161,70.29531,True,1,
92.63777,22.70242,71.29648,True,1,
96.28909,20.48457,74.84157,False,1,
94.96405,16.48186,68.71829,True,1,
97.64899,19.43742,71.70841,False,2,
97.07115,19.0246,68.23628,False,1,
95.47713,20.31443,64.07611,False,1,
92.00514,23.61881,56.24055,False,1,
84.3588,30.69737,38.93507,True,1,
85.95283,39.91901,40.75224,False,1,
84.03502,34.27507,31.91379,True,2,
83.61658,40.03096,24.80748,True,1,
91.16828,53.05931,48.2525,True,2,
90.66019,52.92467,47.04171,True,1,
92.08983,49.85774,54.05542,False,1,
85.94785,50.7971,11.03213,False,2,
85.92792,64.02702,0.3211111,False,1,
83.45718,62.70664,0,True,1,
84.38371,70.07751,3.248954,False,1,
82.24174,67.7739,4.029784,True,1,
83.44722,68.26116,27.95215,True,1,
87.0537,62.5953,56.23827,True,1,
89.36005,45.49842,71.82467,True,2,
90.18696,44.44084,78.63607,False,5,
90.65022,39.59212,83.77954,False,1,
89.64399,38.11848,75.00107,False,3,
89.36504,53.30597,76.82315,False,2,
89.86317,52.8372,88.99364,False,1,
87.81584,55.08532,69.95141,False,1,
85.39492,44.75232,29.95981,True,2,
84.67262,51.31934,2.997684,True,1,
86.39118,46.70628,29.39662,False,1,
85.50451,44.78387,0,True,2,
84.90675,40.9305,0,True,1,
89.01137,45.80111,70.33538,False,2,
89.55433,44.52494,71.95816,False,1,
87.90551,49.39721,43.94701,True,1,
89.70377,56.73528,86.16942,True,1,
92.16454,52.58998,100,True,3,
91.53191,43.61111,100,True,1,
92.80215,44.60432,100,True,2,
93.59917,42.95271,100,True,1,
95.59668,35.24777,100,True,3,
96.0201,23.40261,100,True,2,
96.08983,19.94722,100,True,1,
98.43105,21.85603,100,False,1,
96.03503,15.40923,84.82515,True,1,
100.9765,22.8356,92.51961,False,1,
96.88684,21.93925,62.50724,False,2,
96.39369,35.25642,56.08622,False,1,
93.92295,32.10085,42.33844,True,1,
96.56306,41.34832,52.293,True,5,
97.1658,41.04644,53.04951,True,4,
96.40864,38.51777,48.27083,True,3,
97.3252,42.49274,52.00919,True,2,
97.30029,42.2823,51.33649,True,1,
99.61163,46.15731,64.37225,True,1,
101.5693,42.53469,75.25362,False,1,
98.28162,39.43933,52.95803,False,1,
96.59792,50.27787,37.84413,False,1,
93.78846,48.92484,0,False,1,
90.02258,64.94717,0,False,1,
88.22929,64.4687,0,True,1,
94.26666,66.31494,26.72358,True,3,
93.68883,49.39885,15.4017,True,1,
94.81461,55.41785,38.60909,True,1,
97.44476,54.34623,82.28349,False,1,
95.5917,48.20875,51.26643,True,1,
102.5954,52.90291,100,True,1,
105.0363,42.81272,100,False,1,
101.7984,42.66271,100,False,1,
97.64899,49.70044,57.95224,True,1,
98.94911,50.80882,84.69133,False,1,
95.4323,46.96424,9.195522,False,1,
93.63902,47.91562,0,True,2,
93.3501,45.17288,0,True,1,
96.13467,42.87892,21.30853,True,1,
97.25048,47.14394,41.96362,True,1,
98.83454,44.64259,72.17664,False,3,
98.5805,44.03549,63.45626,False,2,
98.6054,48.18702,65.54125,False,1,
95.32769,44.89107,0,True,1,
96.61287,64.10207,3.827826,False,1,
94.09232,67.11194,0,False,1,
92.58796,66.12467,0,True,1,
93.644,61.90812,12.62042,False,1,
92.6826,62.62748,6.982393,True,4,
92.24425,57.45142,2.81136,True,3,
93.15583,54.07925,12.20622,False,4,
92.60291,50.5482,0.02001066,True,1,
94.05247,61.4024,27.66684,False,1,
92.25421,60.10707,12.28738,False,1,
90.3364,70.51883,7.593287,False,2,
89.65395,73.29022,12.18795,False,1,
88.56802,74.38267,10.0719,False,1,
87.16827,70.90913,6.984567,True,1,
88.97151,79.00859,29.82716,False,1,
87.47213,66.45329,26.87676,True,1,
89.31024,66.44256,40.58317,True,6,
89.68385,63.26221,44.6728,True,10,
90.10227,59.51929,48.82388,False,1,
88.96653,56.80812,41.77599,True,3,
89.15582,63.12833,44.6982,True,2,
89.29032,61.05433,46.90321,True,1,
90.37127,66.67828,58.93201,False,1,
89.44972,56.94342,52.75486,True,4,
89.88808,53.52893,59.2277,True,3,
89.91797,49.04973,61.5988,True,2,
89.68385,44.00706,59.33386,True,1,
92.29904,37.54317,100,True,1,
93.93291,34.74886,100,True,2,
94.25671,20.74876,100,True,1,
96.51823,24.046,100,False,5,
95.66642,20.06982,100,False,5,
96.25422,26.52374,98.00987,False,4,
96.61785,17.76113,88.49384,False,2,
96.10477,17.49133,76.87535,False,2,
95.36754,21.26052,67.29169,False,1,
92.15458,28.29945,39.04876,True,1,
93.1359,40.20211,45.38297,True,1,
95.34263,38.68056,61.34749,True,1,
98.68012,33.58458,78.32833,True,1,
101.7287,27.08122,84.53708,True,1,
107.5021,26.49615,84.94627,True,1,
111.3476,21.96378,86.1218,False,1,
108.9666,19.17341,73.19774,True,4,
109.4796,27.64359,72.01205,True,3,
109.3153,24.8868,70.044,True,2,
109.5892,25.883,69.53236,True,1,
110.73,25.96899,71.2552,True,1,
112.6727,23.52092,73.53903,True,1,
113.8234,19.97926,74.72292,False,3,
113.0662,9.512283,68.47397,True,4,
113.5843,12.44602,68.73586,True,3,
112.588,13.29189,63.90739,True,2,
113.4747,19.10139,63.86803,True,1,
115.2132,21.13125,66.13045,False,1,
113.933,26.3592,57.95325,True,2,
114.192,40.59441,58.89612,True,2,
115.0936,27.51823,60.6445,True,2,
116.1297,26.62797,63.53601,True,1,
119.1335,23.5499,72.88182,True,2,
119.1434,19.43204,70.29663,True,1,
120.3539,20.94944,73.39583,True,1,
127.248,22.06523,85.86327,True,2,
127.522,15.56351,73.97477,True,1,
129.918,11.97589,75.03657,True,2,
129.116,10.89911,69.76962,True,1,
132.5033,10.06254,76.17045,True,1,
138.1173,8.977623,82.39918,True,1,
143.4623,7.692268,79.86829,False,2,
143.4125,2.575974,74.72742,False,1,
139.6067,2.754463,64.82905,True,1,
144.9268,13.7682,71.71569,False,2,
146.0127,12.2206,70.33,False,1,
139.258,12.86813,55.80851,True,1,
142.6204,26.57771,60.9663,False,1,
140.7225,25.30931,56.36547,False,2,
140.8471,33.19666,54.84262,False,1,
138.6553,33.32085,46.7788,False,1,
136.8869,39.00726,40.6638,True,2,
138.202,40.45522,42.05446,True,1,
139.6266,42.62507,44.47715,True,1,
142.8147,47.80912,54.59309,True,3,
143.3826,51.00277,59.02687,True,3,
144.1098,50.04556,65.24623,True,2,
144.3141,42.42627,66.86085,True,1,
148.07,51.24468,98.51201,True,1,
151.4822,46.2297,100,False,2,
150.4361,24.46942,100,False,1,
145.8135,31.92814,68.46368,True,3,
146.5258,39.54581,72.45907,True,8,
145.0812,38.61367,57.72985,True,1,
147.3029,36.71744,75.06363,False,1,
145.2157,28.86597,47.60363,True,1,
147.2182,36.20146,58.52558,False,3,
147.5619,35.3967,57.81728,False,2,
146.1273,39.74606,44.54749,True,2,
145.3452,44.28543,36.84979,True,1,
148.872,47.43378,60.54802,True,4,
149.8832,41.68029,65.08144,True,3,
150.0326,46.32174,67.17944,True,2,
149.2107,53.38925,67.49816,True,1,
154.3714,52.89548,100,True,2,
155.4174,30.28005,100,False,2,
156.3838,29.82138,94.22506,False,1,
150.6354,23.7809,50.43935,False,1,
147.3726,43.35651,23.84367,False,4,
147.4922,45.89264,21.86458,False,3,
147.9106,49.43798,22.77494,False,1,
146.202,49.28688,1.178984,False,1,
143.3427,49.84888,0,True,1,
145.2605,53.73608,0,True,1,
149.0364,57.16828,24.89107,False,3,
148.0949,51.51459,4.667007,False,2,
148.3091,53.37028,2.130148,False,1,
145.6292,51.60207,0,False,3,
145.0812,67.03552,0,False,2,
145.2406,70.54044,0,False,1,
142.3066,72.87789,10.31109,True,2,
141.4946,69.33395,23.30165,True,1,
144.3191,65.39665,42.00651,False,1,
141.4697,57.27998,29.87218,False,3,
142.2917,63.29427,37.24823,False,2,
142.0177,58.3778,36.62778,False,1,
139.4722,53.1925,26.18289,False,2,
139.4772,63.53683,27.72281,False,1,
136.4934,77.14294,19.0577,True,1,
139.268,79.51846,35.96896,True,1,
140.7574,70.35213,45.77757,True,3,
140.7674,61.58773,47.16685,True,2,
141.2605,60.5302,51.24909,True,1,
143.6864,59.55969,70.91937,True,6,
143.0986,46.60287,69.06519,True,5,
142.466,46.00694,64.95029,True,4,
142.5905,55.17819,70.05067,True,3,
143.6864,46.30545,87.99328,True,2,
143.0189,45.48386,84.56477,True,1,
146.8844,46.83861,100,True,2,
147.1435,28.3972,100,True,1,
148.9866,27.98283,100,True,1,
154.2917,11.60442,100,False,2,
155.2581,10.0424,94.02146,False,1,
150.9343,10.32979,63.69079,True,4,
150.745,27.49723,58.74521,True,3,
149.5395,28.72154,52.54371,True,1,
151.3278,36.10783,57.90207,True,1,
153.3801,31.52125,63.26899,True,1,
155.3676,26.96109,67.18211,True,2,
155.1036,24.99512,63.79364,True,1,
157.0912,26.90446,69.65508,False,3,
156.5532,22.97685,65.67603,False,2,
156.3838,28.71243,63.66992,False,1,
152.4287,29.57498,44.61304,True,1,
154.2319,43.04127,53.0471,True,1,
157.6391,50.14076,74.29887,False,2,
158.745,44.97054,83.16627,False,1,
154.9193,30.906,53.16865,False,5,
154.7749,41.33579,48.19858,False,4,
155.7911,38.6329,53.12305,False,3,
155.9106,39.97313,52.53304,False,2,
154.745,43.77449,39.9046,False,1,
152.4785,51.59642,11.24591,False,1,
149.923,56.1038,0,False,1,
148.1646,66.23789,0,True,2,
147.5171,68.00687,0,True,1,
151.9305,68.65047,24.89904,True,2,
151.0737,51.02798,12.93542,True,1,
153.7736,56.7822,58.20797,False,1,
151.0339,58.56135,29.31895,True,1,
169.3154,65.92593,100,True,1,
173.674,31.38365,100,True,2,
172.8073,27.96236,100,True,1,
177.0564,30.08858,100,True,3,
175.8708,27.437,100,True,1,
178.4162,27.46785,100,True,1,
185.3752,22.49919,100,True,1,
188.9816,15.62166,97.75349,True,2,
189.1311,11.78883,84.81455,True,1,
192.2544,10.67594,82.503,True,1,
194.486,10.94276,79.87598,True,1,
196.7774,9.042206,77.58501,False,1,
194.222,9.112434,70.41905,False,1,
188.8671,8.79277,57.26529,True,1,
194.8198,25.2366,60.20912,True,2,
194.4711,24.25713,58.26431,True,1,
197.7438,23.28954,61.07357,False,1,
195.6666,23.86408,56.91846,True,1,
198.3316,25.5416,59.81618,True,1,
200.9717,25.46637,62.9876,True,2,
199.3578,28.49883,59.12083,True,1,
203.9157,34.86412,65.31821,True,1,
