Target,Stoploss
1,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
32.625,37.03704,58.06899,False,1,
31.75,26.41509,40.26462,False,1,
30.5,34.99999,14.66302,True,1,
30.875,44.28571,18.3066,True,2,
31,47.69231,15.63281,True,1,
32,49.20635,43.25013,False,1,
30.875,44.92754,0,True,1,
32.375,55.55556,58.28218,True,1,
32.875,49.38272,90.23318,True,2,
33,50.63291,100,False,6,
33.25,54.05406,100,False,1,
32.75,52,100,False,4,
32.875,50.68493,100,False,3,
32.875,44.77612,100,False,2,
32.75,48.3871,100,False,1,
32.375,42.85714,63.01363,False,2,
32.125,34.69388,10.06162,False,1,
31.5,39.58333,0,False,2,
31.25,46.15385,0,True,2,
31.125,56.52174,0,True,1,
31.625,47.36842,0,True,5,
31.75,60,0,False,1,
31.375,66.66667,0,True,1,
31.75,72.4138,12.111,False,1,
31.375,70,21.53216,True,1,
32,68.96552,58.2322,True,3,
32.25,60.60606,72.35226,True,2,
32,57.14286,63.26538,True,1,
32.625,58.33334,91.42789,False,4,
32.625,47.36842,93.89955,False,3,
32.5,44.44444,90.7774,False,2,
32.5,37.5,95.35648,False,1,
31.875,33.33334,53.48276,False,1,
31.25,41.17647,0.2664301,False,1,
30.625,54.28571,0,True,1,
31,61.53846,0,False,2,
31,53.84615,0,False,1,
30.375,58.33334,0,False,1,
29.875,60.52631,0,True,1,
31.125,72.97298,13.22434,True,2,
31.25,60,34.29186,True,4,
31.5,56.81818,59.81585,False,1,
31,60.97561,31.32923,True,1,
31.5,64.44444,67.41348,True,1,
32.375,58.33334,100,True,2,
32.5,50.90909,100,True,1,
34.125,45.09804,100,True,1,
35.75,30.50848,100,False,1,
34.375,19.40298,100,False,1,
32.5,32,49.237,True,1,
33.75,43.33333,77.67455,False,1,
32.5,35.78947,44.75656,False,1,
32,39.60396,32.05357,False,1,
30.125,46.31579,0,True,1,
32.125,54.12844,35.03668,True,1,
32.5,47.96748,44.09022,False,3,
32.625,45.08197,43.75311,False,1,
32.25,46.21849,29.82048,False,2,
32.125,50.43478,20.35187,False,1,
31.375,51.30435,0,False,1,
30.25,60.18518,0,True,1,
30.875,71.15385,13.80741,True,1,
32,64.28571,56.51676,False,2,
32,52.17391,57.88166,False,1,
31.625,58.53658,51.44604,False,3,
31.625,54.66666,54.24206,False,2,
31.625,52.11268,55.2072,False,1,
31.25,39.28571,36.73506,False,2,
31.5,58.13953,47.60516,False,1,
30.5,59.52381,25.08351,True,1,
32,67.34694,69.00385,False,8,
32,51.72414,72.96513,False,7,
32.25,50.87719,89.4438,False,2,
32,43.39622,89.82111,False,5,
31.75,34.78261,60.4419,True,5,
32,41.86047,69.1356,False,3,
32,50,69.02003,False,2,
32,50,73.38385,False,1,
31.625,45.45454,38.62386,True,1,
32.125,50,71.29427,True,5,
32.125,45,71.66536,True,4,
31.875,40.54054,48.67757,True,2,
32.125,45.94594,63.80303,True,2,
32.375,29.03226,66.99086,False,3,
32.5,42.85714,73.68786,False,2,
32.25,40.90909,59.349,False,2,
32,50,41.46173,False,1,
31.625,50,0.5271546,False,1,
30.875,52.17391,0,True,4,
31.125,66.66667,0,False,1,
30.75,62.06896,0,True,2,
30.875,65.625,0,True,1,
31.25,60,0,True,3,
31.125,62.06896,0,True,2,
31.125,63.33333,0,True,1,
31.625,60.71429,17.09631,True,1,
32.375,56.66667,100,False,4,
32.375,50,100,False,3,
32.25,51.51515,100,False,4,
32.125,50,92.84776,False,3,
32,48.3871,83.78898,False,2,
32,44.82759,88.38083,False,1,
30.75,30.43478,0,True,1,
31.125,54.83871,20.99805,False,1,
30.5,45.16129,0,True,3,
30.375,54.28571,0,True,2,
30.375,60.60606,0,True,1,
