Target,Stoploss
1,1
Price,RSI.cs,RSI.cs,IsValid, TimeToValidate
0.15067,32.57534,32.57534,False,1,
0.143973,29.36482,29.36482,False,1,
0.137835,27.04906,27.04906,False,1,
0.135045,34.37447,34.37447,True,1,
0.142299,38.58245,38.58245,False,2,
0.141183,38.58245,38.58245,False,1,
0.136161,43.21988,43.21988,True,2,
0.136719,51.28201,51.28201,True,1,
0.139509,57.14262,57.14262,True,2,
0.138393,69.76807,69.76807,True,1,
0.146763,73.81009,73.81009,False,1,
0.142299,59.7834,59.7834,True,1,
0.145089,59.7834,59.7834,True,1,
0.146763,58.51143,58.51143,False,2,
0.146205,53.84708,53.84708,False,1,
0.143973,47.5,47.5,False,2,
0.142857,42.46576,42.46576,False,1,
0.138393,40.00001,40.00001,False,1,
0.133371,55.38461,55.38461,False,1,
0.126116,59.72223,59.72223,False,1,
0.118862,61.84301,61.84301,True,1,
0.123326,68.18246,68.18246,True,1,
0.12779,65.93474,65.93474,False,3,
0.12779,59.79455,59.79455,False,2,
0.128348,70.73235,70.73235,False,1,
0.121652,66.66747,66.66747,False,2,
0.121652,75.61031,75.61031,False,1,
0.117746,78.48151,78.48151,False,2,
0.116629,80.00043,80.00043,False,1,
0.113839,79.51897,79.51897,True,1,
0.116629,80.2334,80.2334,True,1,
0.121652,73.49513,73.49513,False,1,
0.114397,62.65086,62.65086,False,1,
0.108259,62.65086,62.65086,True,1,
0.109933,61.72873,61.72873,False,1,
0.106027,65.78955,65.78955,True,1,
0.112723,75.99935,75.99935,True,1,
0.114397,65.51732,65.51732,True,1,
0.118304,64.0451,64.0451,False,3,
0.118862,53.57112,53.57112,False,1,
0.117188,52.94092,52.94092,False,2,
0.116071,50.61723,50.61723,False,2,
0.115513,50.61723,50.61723,False,2,
0.114397,48.05213,48.05213,False,1,
0.105469,52.70244,52.70244,False,1,
0.100446,67.90115,67.90115,False,1,
0.09654,66.2338,66.2338,True,1,
0.100446,64.38374,64.38374,False,1,
0.09933,61.03934,61.03934,True,1,
0.103237,58.33395,58.33395,True,1,
0.108259,62.6852,62.6852,True,1,
0.114955,57.5335,57.5335,True,3,
0.113839,53.84703,53.84703,True,2,
0.114955,55.69695,55.69695,True,1,
0.11942,52.56507,52.56507,False,2,
0.118862,46.42773,46.42773,False,1,
0.116629,46.42773,46.42773,False,1,
0.114397,47.67461,47.67461,False,1,
0.110491,39.19025,39.19025,False,2,
0.110491,37.49969,37.49969,False,1,
0.109375,30.76944,30.76944,False,1,
0.108259,36.66637,36.66637,True,1,
0.117746,36.66637,36.66637,False,2,
0.118304,31.42872,31.42872,False,1,
0.116071,35.48369,35.48369,True,2,
0.114955,48.1484,48.1484,True,1,
0.120536,48.1484,48.1484,True,1,
0.122768,41.93521,41.93521,True,1,
0.124442,44.82822,44.82822,False,3,
0.124442,41.66766,41.66766,False,2,
