Target,Stoploss
2,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
53.75,44.73684,100,True,1,
55,41.46341,100,False,6,
55.5,32.55814,100,False,3,
55,31.81818,100,False,4,
55,31.81818,100,False,3,
54.75,28.57143,100,False,2,
55,21.46596,100,False,1,
54,20.91836,100,False,1,
53.25,22.5,56.18033,False,1,
52.5,32.43243,45.18119,True,1,
54,45.45454,58.06826,True,8,
53.5,39.47368,48.02435,True,7,
54.5,47.22223,54.10838,False,2,
54.25,39.47368,47.68844,True,5,
53.75,47.05883,42.93908,True,4,
54.25,58.06452,47.37544,True,3,
53.75,58.06452,43.45808,True,2,
54.5,58.06452,53.0998,True,1,
56,52.94118,54.30459,True,1,
59,43.58974,84.24154,True,2,
60,34,95.79862,False,4,
61,26,100,False,1,
60.25,19.60784,100,False,2,
60,19.60784,97.92052,False,1,
59,23.91305,86.34727,True,4,
59.5,27.08333,97.25842,True,3,
59,28.26087,87.53115,True,2,
60,29.78723,100,True,7,
61,24.4898,100,False,2,
61,23.52941,100,False,1,
60.25,20.40816,89.87281,True,4,
60.5,26.53062,97.47324,True,3,
60,29.54546,49.2956,True,2,
60.25,44.11765,50.19858,True,1,
62,48.3871,63.31842,True,4,
62,44.11765,64.74786,True,3,
63,38.70967,71.20339,True,2,
63,32.35294,68.8119,True,1,
65.5,23.33333,87.86681,True,2,
65.25,18.42105,85.8911,True,1,
67.25,16.21622,100,False,2,
68,14.63415,100,False,1,
66,15,100,True,1,
68.25,29.16667,100,True,1,
73,20.37037,78.16685,False,1,
71.75,15.27778,67.75713,True,2,
72.5,18.66666,70.13903,True,1,
74.75,18.18182,67.87218,True,2,
74.75,17.72152,66.87793,True,1,
79.25,17.72152,81.25142,True,1,
81.25,15.05376,79.1369,False,3,
81,13.86139,62.99155,False,2,
81.5,16.30434,56.4228,False,1,
80,15.05376,52.7305,False,1,
76,21.97802,43.47823,False,1,
72,34.61539,32.32537,True,1,
75.5,39.28571,40.56414,True,3,
77,37.60683,42.63593,False,1,
76,42.30769,36.82056,True,1,
78.5,41.74757,45.04985,False,1,
77,39.09091,36.95723,False,1,
72.5,45.7944,8.481378,False,8,
72.25,53.6,0,True,2,
72.75,62.96296,0,False,6,
73.75,66.66667,0,False,2,
73.25,63.80952,0,False,2,
73,65.71428,16.07436,False,2,
72.5,64,38.39912,False,2,
72.25,58.13953,40.67658,False,1,
71,49.29577,30.35492,True,5,
71,64.51613,31.14844,True,4,
72,71.42857,40.65389,True,5,
72.25,64.28571,42.2301,True,4,
71.75,76.59574,42.12814,True,3,
72.5,74.41861,51.07917,True,2,
72.5,50,51.26385,True,1,
75,48.14815,67.51737,False,2,
74.5,37.14285,66.58306,True,7,
74,45.45454,66.43087,True,4,
74,45.45454,75.36015,True,3,
74,43.75,84.44142,True,2,
74.75,40,100,True,3,
75.5,34.37499,100,True,5,
74.75,20,61.81328,True,1,
76.25,27.27273,86.01038,False,2,
75.5,25.71429,67.39027,True,2,
75.25,32.43243,62.04647,True,1,
78,30.55556,66.04919,False,1,
77,24.99999,57.95672,False,1,
74,31.25,31.08813,False,2,
74.5,54,35.3229,False,1,
73.25,50,20.20564,False,1,
71.75,52.83018,0,True,1,
73.5,57.62712,16.19918,True,3,
74.5,51.51515,27.71189,True,3,
74.5,50.74627,21.6265,True,2,
75.75,53.125,52.22878,True,1,
78.25,46.9697,100,True,2,
79.75,44.28571,100,False,5,
80.25,38.35616,100,False,4,
80,36.48649,100,False,3,
79.75,43.75,100,False,2,
80,40.9836,100,False,1,
76.5,26,39.95885,False,8,
75.75,43.54839,17.86669,False,7,
76.75,41.66667,39.60034,False,6,
77,32.75862,43.65057,False,4,
76.75,36.53846,35.16301,False,4,
77,40.81633,37.29947,False,2,
76.75,40,28.09878,False,2,
76,45.65218,12.51981,False,1,
74.75,61.53846,0,False,3,
74.25,76.31579,0,False,2,
75,81.57895,0,False,1,
73.5,75,0,False,1,
72.5,77.77778,0,False,2,
72.5,81.25,20.2522,False,1,
70.25,73.52941,21.78126,False,1,
69,77.5,26.00483,False,1,
68,87.80488,26.54739,True,1,
69.5,90.90909,36.07196,False,1,
67.75,79.59184,30.08004,False,1,
67,83.63637,28.80539,False,1,
63.25,84.21053,23.34141,False,1,
60.75,86.95652,20.51499,True,3,
60.5,87.83784,22.41725,True,2,
61.5,87.67123,33.53862,True,1,
65.5,86.48649,48.62358,False,3,
65.75,69.04762,50.16086,False,2,
65.25,66.66667,48.97583,False,1,
64,67.46988,43.39108,False,3,
64.5,65.82278,47.67278,False,2,
64,61.84211,46.79282,False,1,
63,60.81081,41.81974,True,7,
62.75,68.05556,39.83146,True,6,
63,65.15151,42.3053,True,5,
63.25,62.5,45.31226,True,5,
63.5,50,46.56847,True,6,
63.5,36.58537,40.52408,True,5,
63.5,35,30.53389,True,4,
64.5,38.88889,55.07243,True,3,
64.75,58.33334,71.02666,True,2,
64.5,58.33334,72.39039,True,1,
66.75,56.52174,100,True,2,
67,29.62963,100,True,1,
68.5,30.76923,100,False,1,
66.75,20,100,False,1,
59,27.27273,17.79196,True,1,
61.5,61.90476,47.40053,False,1,
60.75,54.16667,39.53659,False,1,
59.5,56.75676,33.10039,False,1,
55.75,60.25641,4.648588,True,1,
57.5,66.66667,21.8802,True,2,
58.25,62,29.91521,False,3,
